Month,Total
2021/1/1,112
2021/1/2,118
2021/1/3,132
2021/1/4,129
2021/1/5,121
2021/1/6,135
2021/1/7,148
2021/1/8,148
2021/1/9,136
2021/1/10,119
2021/1/11,104
2021/1/12,118
2021/1/13,115
2021/1/14,126
2021/1/15,141
2021/1/16,135
2021/1/17,125
2021/1/18,149
2021/1/19,170
2021/1/20,170
2021/1/21,158
2021/1/22,133
2021/1/23,114
2021/1/24,140
2021/1/25,145
2021/1/26,150
2021/1/27,178
2021/1/28,163
2021/1/29,172
2021/1/30,178
2021/1/31,199
2021/2/1,199
2021/2/2,184
2021/2/3,162
2021/2/4,146
2021/2/5,166
2021/2/6,171
2021/2/7,180
2021/2/8,193
2021/2/9,181
2021/2/10,183
2021/2/11,218
2021/2/12,230
2021/2/13,242
2021/2/14,209
2021/2/15,191
2021/2/16,172
2021/2/17,194
2021/2/18,196
2021/2/19,196
2021/2/20,236
2021/2/21,235
2021/2/22,229
2021/2/23,243
2021/2/24,264
2021/2/25,272
2021/2/26,237
2021/2/27,211
2021/2/28,180
2021/3/1,201
2021/3/2,204
2021/3/3,188
2021/3/4,235
2021/3/5,227
2021/3/6,234
2021/3/7,264
2021/3/8,302
2021/3/9,293
2021/3/10,259
2021/3/11,229
2021/3/12,203
2021/3/13,229
2021/3/14,242
2021/3/15,233
2021/3/16,267
2021/3/17,269
2021/3/18,270
2021/3/19,315
2021/3/20,364
2021/3/21,347
2021/3/22,312
2021/3/23,274
2021/3/24,237
2021/3/25,278
2021/3/26,284
2021/3/27,277
2021/3/28,317
2021/3/29,313
2021/3/30,318
2021/3/31,374
2021/4/1,413
2021/4/2,405
2021/4/3,355
2021/4/4,306
2021/4/5,271
2021/4/6,306
2021/4/7,315
2021/4/8,301
2021/4/9,356
2021/4/10,348
2021/4/11,355
2021/4/12,422
2021/4/13,465
2021/4/14,467
2021/4/15,404
2021/4/16,347
2021/4/17,305
2021/4/18,336
2021/4/19,340
2021/4/20,318
2021/4/21,362
2021/4/22,348
2021/4/23,363
2021/4/24,435
2021/4/25,491
2021/4/26,505
2021/4/27,404
2021/4/28,359
2021/4/29,310
2021/4/30,337
2021/5/1,360
2021/5/2,342
2021/5/3,406
2021/5/4,396
2021/5/5,420
2021/5/6,472
2021/5/7,548
2021/5/8,559
2021/5/9,463
2021/5/10,407
2021/5/11,362
2021/5/12,405
2021/5/13,417
2021/5/14,391
2021/5/15,419
2021/5/16,461
2021/5/17,472
2021/5/18,535
2021/5/19,622
2021/5/20,606
2021/5/21,508
2021/5/22,461
2021/5/23,390
2021/5/24,432
